target	name	mz	ppm	rt.min	rt.max	samples	threshold	known.alternatives	C13	N15	H2	event	interactive
negPL-55A: C20 H29 N O7	negPL-55A: C20 H29 N O7	394.186575	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negPL-55A: C23 H34 N2 O7	negPL-55A: C23 H34 N2 O7	449.228775	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negPL-55A: C32 H50 N2 O10	negPL-55A: C32 H50 N2 O10	621.338675	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negPL-55P: C22 H33 N O7	negPL-55P: C22 H33 N O7	422.217875	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negPL-55P: C25 H38 N2 O7	negPL-55P: C25 H38 N2 O7	477.260075	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negPL-55P: C36 H58 N2 O10	negPL-55P: C36 H58 N2 O10	677.401275	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negAPL-50 PEG: C4 H7 N O4	negAPL-50 PEG: C4 H7 N O4	132.029675	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negAPL-50 PEG: C18 H33 N3 O9	negAPL-50 PEG: C18 H33 N3 O9	434.213875	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negAPL-50 PEG: C26 H39 N3 O12	negAPL-50 PEG: C26 H39 N3 O12	584.245575	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negAPL-50 PEG: C29 H44 N4 O12	negAPL-50 PEG: C29 H44 N4 O12	639.287775	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negBR-240: C24 H25 N3 O2	negBR-240: C24 H25 N3 O2	386.186875	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negBR-240: C3 H5 NO	negBR-240: C3 H5 NO	70.029285	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negBR-240: C28 H31 N4 O2+	negBR-240: C28 H31 N4 O2+	453.22905	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negECF B3.1: C26 H37 N8 O3	negECF B3.1: C26 H37 N8 O3	508.291075	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negECF B3.1: C6 H15 N	negECF B3.1: C6 H15 N	100.112575	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negECF B3.2: C26 H37 N8 O3	negECF B3.2: C26 H37 N8 O3	508.291075	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negECF B3.2: C6 H15 N	negECF B3.2: C6 H15 N	100.112575	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negBR-246: C24 H28 Cl N3 O4	negBR-246: C24 H28 Cl N3 O4	456.168975	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negGA060 A: C7 H9 B O3	negGA060 A: C7 H9 B O3	151.056675	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negGA060 A: C7 H4 F3 N O5 S	negGA060 A: C7 H4 F3 N O5 S	269.968375	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negGA060 A: C13 H11 N O3	negGA060 A: C13 H11 N O3	269.968375	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negGA060 A: C7 H8 O2	negGA060 A: C7 H8 O2	228.066075	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
negGA060 A: C6 H5 N O3	negGA060 A: C6 H5 N O3	138.019075	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55A: C20 H29 N O7	posPL-55A: C20 H29 N O7	396.202225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55A: C23 H34 N2 O7	posPL-55A: C23 H34 N2 O7	451.244425	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55A: C32 H50 N2 O10	posPL-55A: C32 H50 N2 O10	623.354325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55P: C22 H33 N O7	posPL-55P: C22 H33 N O7	424.233525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55P: C25 H38 N2 O7	posPL-55P: C25 H38 N2 O7	479.275725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posPL-55P: C36 H58 N2 O10	posPL-55P: C36 H58 N2 O10	679.416925	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posAPL-50 PEG: C4 H7 N O4	posAPL-50 PEG: C4 H7 N O4	134.045325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
