target	name	mz	ppm	rt.min	rt.max	samples	threshold	known alternatives	C13	N15	H2	event	interactive	comment
E	147.0531578	148.0604342	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	a1
S	105.0425931	106.0498696	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	a2
R	174.1116757	175.1189522	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	a3
G	75.03202841	76.03930488	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	a4
GalFruGlu	Galactose-Fructose-Glucose	179.0561	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g1
"Fructose-6-phosphate,Glucose 6 phosphate"	Fructose-6-phosphate-Glucose 6 phosphate	259.0224	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g2
"Fructose 1, 6 bisphosphate"	"Fructose 1, 6 bisphosphate"	338.9888	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g3
serine	serine	104.0353	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g4
Phosphoenol pyruvate	Phosphoenol pyruvate	166.9751	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g5
pyruvate	pyruvate	87.0087	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g6
alanine	alanine	88.0404	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g7
lactate	lactate	89.0244	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	g8
"Citrate,isocitrate"	Citrate-isocitrate	191.0197	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	k1
Alpha Ketoglutarate	Alpha Ketoglutarate	145.0142	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	k2
Succinate	Succinate	117.0193	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	k3
fumarate	fumarate	115.0037	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	k4
malic acid	malic acid	133.0142	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	k5
6-Phosphogluconolactone	258.0140685	257.006792	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p1
6-Phosphogluconate	276.0246331	275.0173567	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p2
"ribulose-5-Phosphate, Xyl-5P, ribose-5-P"	230.0191538	229.0118774	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p3
sedaheptulose-7P	290.0402832	289.0330067	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p4
glyceraldehyde-3P	169.9980245	168.990748	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p5
erythrose-4P	200.0085892	199.0013127	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	p6
PRPP	Phosphoribosyl pyrophosphate	388.9445382	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r01
5-PRA	5-Phosphoribosylamine	228.0278618	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r02
GAR	Glycineamide ribonucleotide	285.0493255	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r03
fGAR	5'-Phosphoribosyl-N-formylglycinamide	313.0442401	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r04
FGAM	Phosphoribosylformylglycineamidine	312.0602245	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r05
AIR	5-Aminoimidazole ribotide	294.0496599	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r06
CAIR	carboxy-air	338.0394891	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r07
SAICAR	succino-AICAR	453.0664321	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r08
AICAR	5-Aminoimidazole-4-carboxamide ribotide	337.0554735	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r09
FAICAR	5-Formamidoimidazole-4-carboxamide ribotide	365.0503881	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r10
IMP	Inosine monophosphate	347.0398235	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r11
XMP	xanthosine monophosphate	361.0201856	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r12
GMP	GMP	362.0507	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r13
AMP	AMP	346.0558	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	r14
Gln	Gln	145.0619	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y1
cPhos	cPhos	139.9754	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y2
cAsp	cAsp	175.036	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y3
dhOro	dhOro	157.0255	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y4
Oro	Oro	155.0098	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y5
OMP	OMP	367.0184	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y6
UMP	UMP	323.0286	10	1	40	10	1.00E+07	TBC	0	0	0	1	yes	y7
