target	name	mz	ppm	rt.min	rt.max	samples	threshold	known.alternatives	C13	N15	H2	event	interactive
PL-55A: C20 H29 N O7	PL-55A: C20 H29 N O7	396.202225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
PL-55A: C23 H34 N2 O7	PL-55A: C23 H34 N2 O7	451.244425	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
PL-55A: C32 H50 N2 O10	PL-55A: C32 H50 N2 O10	623.354325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
PL-55P: C22 H33 N O7	PL-55P: C22 H33 N O7	424.233525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
PL-55P: C25 H38 N2 O7	PL-55P: C25 H38 N2 O7	479.275725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
PL-55P: C36 H58 N2 O10	PL-55P: C36 H58 N2 O10	679.416925	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
APL-50 PEG: C4 H7 N O4	APL-50 PEG: C4 H7 N O4	134.045325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
APL-50 PEG: C18 H33 N3 O9	APL-50 PEG: C18 H33 N3 O9	436.229525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
APL-50 PEG: C26 H39 N3 O12	APL-50 PEG: C26 H39 N3 O12	586.261225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
APL-50 PEG: C29 H44 N4 O12	APL-50 PEG: C29 H44 N4 O12	641.303425	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
BR-240: C24 H25 N3 O2	BR-240: C24 H25 N3 O2	388.202525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
BR-240: C3 H5 NO	BR-240: C3 H5 NO	72.044935	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
BR-240: C28 H31 N4 O2+	BR-240: C28 H31 N4 O2+	455.2447	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
ECF B3.1: C26 H37 N8 O3	ECF B3.1: C26 H37 N8 O3	510.306725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
ECF B3.1: C6 H15 N	ECF B3.1: C6 H15 N	102.128225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
ECF B3.2: C26 H37 N8 O3	ECF B3.2: C26 H37 N8 O3	510.306725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
ECF B3.2: C6 H15 N	ECF B3.2: C6 H15 N	102.128225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
BR-246: C24 H28 Cl N3 O4	BR-246: C24 H28 Cl N3 O4	458.184625	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
GA060 A: C7 H9 B O3	GA060 A: C7 H9 B O3	153.072325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
GA060 A: C7 H4 F3 N O5 S	GA060 A: C7 H4 F3 N O5 S	271.984025	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
GA060 A: C13 H11 N O3	GA060 A: C13 H11 N O3	271.984025	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
GA060 A: C7 H8 O2	GA060 A: C7 H8 O2	230.081725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
GA060 A: C6 H5 N O3	GA060 A: C6 H5 N O3	140.034725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
