target	name	mz	ppm	rt.min	rt.max	samples	threshold	known alternatives	C13	N15	H2	event	interactive
Adenosine	Adenosine	266.0895	15	11	14.5	11	10000	TBC	0	0	0	1	yes
ADP	ADP	426.0221	15	13	17	15	1.00E+05	TBC	0	0	0	1	yes
Citrate	Citrate	191.0197	15	14	18	15	1.00E+06	TBC	0	0	0	1	yes
CDP	CDP	402.0109	15	14	18	11	1.00E+04	TBC	0	0	0	1	yes
cytidine	cytidine	242.0782	15	13	16	10	1.00E+05	TBC	0	0	0	1	yes
CTP	CTP	481.9772	15	15	19	15	5.00E+05	TBC	0	0	0	1	yes
"Fructose 1, 6 bisphosphate"	"Fructose 1, 6 bisphosphate"	338.9888	15	14	19	20	5.00E+04	TBC	0	0	0	1	yes
Glucose	Glucose	179.0561	15	12	18	6	1.00E+07	TBC	0	0	0	1	yes
Glutamine	Glutamine	145.0618	15	14	17	10	1.00E+07	TBC	0	0	0	1	yes
Glycine	Glycine	74.0247	15	2	30	7	1.00E+07	TBC	0	0	0	1	yes
Guanosine	Guanosine	282.0844	15	13	17	10	1.00E+07	TBC	0	0	0	1	yes
GDP	GDP	442.017	15	15	19	10	1.00E+07	TBC	0	0	0	1	yes
GTP	GTP	521.9834	15	15	20	10	1.00E+07	TBC	0	0	0	1	yes
5 Phospho D Ribose 1 Diphosphate(PRPP)	5 Phospho D Ribose 1 Diphosphate(PRPP)	388.9445	15	2	28	7	1.00E+07	TBC	0	0	0	1	yes
6 Phospho gluconate	6 Phospho gluconate	275.0173	15	14	19	10	1.00E+07	TBC	0	0	0	1	yes
Alpha Ketoglutarate	Alpha Ketoglutarate	145.0142	15	13	17	7	1.00E+07	TBC	0	0	0	1	yes
phosphoglycerate	phosphoglycerate	184.9856	15	14	18	10	1.00E+07	TBC	0	0	0	1	yes
Glucose 6 phosphate	Glucose 6 phosphate	259.0224	15	14	18	7	1.00E+07	TBC	0	0	0	1	yes
ribose 5 phosphate	ribose 5 phosphate	229.0119	15	12	18	7	1.00E+07	TBC	0	0	0	1	yes
sorbitol	sorbitol	181.0717	15	13	18	7	1.00E+07	TBC	0	0	0	1	yes
Inosine	Inosine	267.0735	15	11	16	10	1.00E+07	TBC	0	0	0	1	yes
aspartate	aspartate	132.0302	15	11	18	7	1.00E+07	TBC	0	0	0	1	yes
histidine	histidine	154.0622	15	12	28	30	1.00E+07	TBC	0	0	0	1	yes
Phosphoenol pyruvate	Phosphoenol pyruvate	166.9751	15	14	18	7	1.00E+07	TBC	0	0	0	1	yes
lactate	lactate	89.0244	15	10	15	10	1.00E+07	TBC	0	0	0	1	yes
pyruvate	pyruvate	87.0087	15	6	16	5	1.00E+07	TBC	0	0	0	1	yes
sucrose	sucrose	341.1089	15	13	17	12	1.00E+07	TBC	0	0	0	1	yes
Uracil	Uracil	111.02	15	10	15	10	1.00E+07	TBC	0	0	0	1	yes
UTP	UTP	482.9612	15	15	18	15	1.00E+07	TBC	0	0	0	1	yes
AMP	AMP	346.0558	15	12	18	12	1.00E+07	TBC	0	0	0	1	yes
GMP	GMP	362.0507	15	14	18	10	1.00E+07	TBC	0	0	0	1	yes
CMP	CMP	322.0446	15	13	18	12	1.00E+07	TBC	0	0	0	1	yes
DL-Glyceraldehyde 3 phosphate	DL-Glyceraldehyde 3 phosphate	168.9907	15	13	17	10	1.00E+07	TBC	0	0	0	1	yes
IMP	IMP	347.0398	15	13	17	10	1.00E+07	TBC	0	0	0	1	yes
UMP	UMP	323.0286	15	13	18	10	1.00E+07	TBC	0	0	0	1	yes
ATP	ATP	505.9884	15	14	19	12	1.00E+07	TBC	0	0	0	1	yes
NAD+	NAD+	662.1023	15	13	17	12	1.00E+07	TBC	0	0	0	1	yes
NADH	NADH	664.1175	15	12	16	3	1.00E+07	TBC	0	0	0	1	yes
UDP	UDP	402.9949	15	14	18	10	1.00E+07	TBC	0	0	0	1	yes
